Username,Name,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount,Views,gender
@tresracha_,cuan del barrio,2s,Empty Tweet,0,0,0,0,uknown
@FoxTrot480,ğ”¸ğ•¤ğ•¥ğ•–ğ•£,7s,Empty Tweet,0,0,0,0,uknown
@amaladetails,paulo â€¢ the officeÂ²,10s,Empty Tweet,0,0,0,0,male
@champagnebabbyy,Yeral,11s,Empty Tweet,0,0,0,0,uknown
@ChargerJoy,michael,11s,Empty Tweet,0,0,0,0,male
@mabas39,FaFiFu_WasWesWos,15s,Empty Tweet,0,0,0,0,uknown
@JavierBarahona,Javier Barahona,16s,Empty Tweet,0,0,0,0,male
@FitBlonde19,Fit Blonde Tech,17s,Empty Tweet,0,0,0,0,uknown
@cup_mad,MAD PARTEA CUP,17s,Empty Tweet,0,0,0,0,uknown
@nathhaliareiss,N,22s,Empty Tweet,0,0,0,0,uknown
@ONSEN_OYAJI_2,æ¸©æ³‰è¦ªçˆ¶ï¼ è‰²å³æ˜¯ç©ºç©ºå³æ˜¯è‰²,24s,Empty Tweet,0,0,0,0,uknown
@Emmanue81515506,Emmanuel Essien,24s,Empty Tweet,0,0,0,0,male
@skinflint69,Kastmaster75,25s,Empty Tweet,0,0,0,0,uknown
@BigJoeC925,Wealth Squad BigJoeC,25s,Empty Tweet,0,0,0,0,uknown
@montanarealtyc1,tony montana,26s,Empty Tweet,0,0,0,0,male
